name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude,facility_id,no_fly_categories,in_no_fly_zone
مرکز جراحی سعادت آباد,clinic,clinic,clinic,True,False,35.7828861,51.3774344,630,,False
کلینیک هورسام,clinic,clinic,clinic,True,False,35.7714843,51.3574539,632,,False
مطب دکتر مهدی احمدی احمدی، فوق تخصص جراحی پلاستیک و زیبایی,doctors,doctor,doctors,True,False,35.7520551,51.4107961,634,,False
درمانگاه نبوی,clinic,clinic,clinic,True,False,35.6028701,51.4344949,635,,False
پایگاه بهداشت ولی آباد بهشتی,clinic,clinic,clinic,True,False,35.5807898,51.4197847,636,,False
دکتر فرشاد جعفری، فوق تخصص قلب کودکان,doctors,doctor,doctors,True,False,35.7746777,51.4097932,639,,False
کلینیک کاردرمانی و گفتاردرمانی آریان,clinic,clinic,clinic,True,False,35.7749888,51.3615286,641,,False
لیزر سلین,clinic,clinic,clinic,True,False,35.7866517,51.4356664,643,,False
رادیولوژی و سونوگرافی کیهان,doctors,doctor,doctors,True,False,35.7301342,51.3791311,644,,False
مرکز زیبایی دکتر شیدوش,clinic,clinic,clinic,True,False,35.781618,51.4490163,646,,False
سمعک برتر,clinic,clinic,clinic,True,False,35.766951,51.4406803,647,,False
مرکز شنوایی سنجی و فروش سمعک آلفا,clinic,clinic,clinic,True,False,35.7591169,51.4115882,648,,False
کلینیک پوست و مو ماهور,clinic,clinic,clinic,True,False,35.8063828,51.456959,649,,False
رادیولوژی دکتر صدری,doctors,doctor,doctors,True,False,35.745168,51.4507107,650,,False
